Reference,Quantity,Value or part,Description,Preferred footprint,Populate FPGA spin,Notes
U21,1,LFE5U-12F-6BG256C,12K-LUT ECP5 FPGA,CABGA-256,Yes,Final package pin assignment and escape are release gates
U22,1,W25Q16JVSSIQ,16-Mbit FPGA configuration SPI NOR,SOIC-8 5.3mm,Yes,Wire to ECP5 sysCONFIG per current Lattice guidance
U23,1,TLV75511PDBVR,1.1V FPGA core LDO,SOT-23-5,Yes,Size from post-route power estimate and measured load
U24,1,TLV75525PDBVR,2.5V FPGA auxiliary LDO,SOT-23-5,Yes,Size from post-route power estimate and measured load
X1,1,14.318180MHz 3.3V CMOS oscillator,FPGA emulation clock,2.5x2.0mm 4-pad,Yes,Low-jitter part chosen for the final supply and temperature range
J5,1,2x5 1.27mm header,FPGA JTAG and configuration debug,PinHeader 2x05 P1.27mm,Prototype,DNP after production programming only after recovery path is proven
R46-R47,2,2.2k 1%,Two-pole PDM reconstruction filter,0603,Yes,Each forms approximately 15.4kHz pole with 4.7nF
R48-R49,2,10k 1%,Left and right cartridge audio injection,0603,Yes,Tune only after measuring SL1 and SR2 on target consoles
R50,1,100k,AC-side audio reference to ground,0603,Yes,Keeps output defined while console is absent
R51,1,33R 1%,FPGA oscillator source termination,0603,Review,Place based on final clock routing and IBIS review
C37-C38,2,4.7nF C0G 5%,Two-pole PDM reconstruction filter,0603,Yes,Place after each 2.2k stage
C39,1,1uF X7R 16V,Audio DC blocking capacitor,0603/0805,Yes,Use non-polar dielectric and check voltage coefficient
C40-C55,16,100nF X7R,FPGA rail and configuration decoupling,0402/0603,Yes,Final count and placement follow package power-pin map
C56-C61,6,4.7uF X7R,FPGA rail local bulk decoupling,0603/0805,Yes,Final values follow regulator and FPGA power guidance
R52-R59,8,TBD,Configuration and JTAG straps/pulls,0603,Yes,Do not assign values until configuration mode is selected
