Top-level port,Width,Logical board net,Package pin,I/O standard,Required constraint/status
clk_14m318,1,FM_CLK_14M318,,LVCMOS33,Dedicated/global-capable input; create 69.841ns clock
reset_n,1,FM_RESET_N,,LVCMOS33,Input only with defined pull state
sms_mode,1,FM_SMS_MODE,,LVCMOS33,Input only with defined pull state
usb_mode,1,FM_USB_MODE,,LVCMOS33,Input only with defined pull state
cart_a,8,FM_ADDR0-7,,LVCMOS33,Input-only bank; preserve bit order
cart_a18_iorq_n,1,FM_IORQ_N,,LVCMOS33,Input only; asynchronous control synchronized in RTL
lwr_n,1,FM_WR_N,,LVCMOS33,Input only; asynchronous control synchronized in RTL
cas0_n,1,FM_RD_N,,LVCMOS33,Input only; timing included in F2 read path
mem_d,8,FM_DATA0-7,,LVCMOS33,Bidirectional bank; prove high-Z during configuration MD and USB modes
fm_pdm,1,FM_PDM,,LVCMOS33,Output with low drive/slew sufficient for 14.31818MHz
fm_active,1,TESTPOINT_ONLY,,LVCMOS33,Optional test point or leave unbonded in wrapper variant
fm_core_ready,1,TESTPOINT_ONLY,,LVCMOS33,Optional test point or leave unbonded in wrapper variant
