Net,From,To,Direction or rule
CART_5V_IN,J1.A2 and J1.A31,F1.1,Join both edge power contacts
CART_5V,F1.2,"D1.A; U3-U8.VCCA/VCC as applicable; U14-U16.VCCA/VCC",Console-only 5V domain
USB_VBUS,J2.VBUS,"D2.A; R5.1; R7.1; R29.1",USB source plus two independent presence dividers
SYS_5V,D1.K and D2.K,"U11.IN; C23.1",Diode-ORed supply
3V3,U11.OUT,"U1/U2/U9/U10/U13/U17/U18 supplies; U3-U7/U14 VCCB; C decoupling",Digital 3.3V rail
GND,"J1.A1/A18/A32; J2.GND; all IC grounds",Ground plane,Single continuous plane
USB_DP,J2.DP,R3.1,Route 90ohm differential with USB_DM
USB_DP_MCU,R3.2,U1.USB_DP,Short matched pair
USB_DM,J2.DM,R4.1,Route 90ohm differential with USB_DP
USB_DM_MCU,R4.2,U1.USB_DM,Short matched pair
USB_ESD,"USB_DP; USB_DM",U12.IO1/IO2,U12 beside J2 with short ground return
CC1,J2.CC1,R1.1,R1.2 to GND
CC2,J2.CC2,R2.1,R2.2 to GND
BUS_DISABLE,U8.Y,"U3-U6./OE; U14./OE; U15.1A",Low enables console translation; USB with console present drives high
DATA_HIGH_DISABLE,U15.1Y,U7./OE,Logical BUS_DISABLE OR SMS_MODE_5V
DATA_GATE_UNUSED,U15.2A/2B,GND,U15.2Y no-connect
CART_A0-7,U3.B0-B7,"U13.cart_a0-7; U17.A0-7; U18.A0-7",U3 A-side from J1 VA1-VA8
CART_A8-12,U4.B0-B4,"U13.cart_a8-12; U17.A8-12; U18.A8-12",Translated address and FRAM 8 KiB window offset
CART_A13,U4.B5,U13.cart_a13,Translated address; FRAM A13 is mapper-controlled
CART_A14-15,U4.B6-B7,U13.cart_a14-15,Translated Z80/68000 address
CART_A16-20,U5.B0-B4,U13.cart_a16-20,Translated MD address; A20 input is pulled low in SMS mode at edge
CE0_3V3,U5.B5,U13.ce0_n,U5.A5 from J1.B17
CAS0_3V3,U5.B6,U13.cas0_n,U5.A6 from J1.B16
